stage,ecuAdv,nedAdv,qatAdv,senAdv,engAdv,irnAdv,usaAdv,walAdv,argAdv,mexAdv,polAdv,ksaAdv,ausAdv,denAdv,fraAdv,tunAdv,crcAdv,gerAdv,jpnAdv,espAdv,belAdv,canAdv,croAdv,marAdv,braAdv,cmrAdv,srbAdv,suiAdv,ghaAdv,porAdv,korAdv,uruAdv,ecu1,ned1,qat1,sen1,eng1,irn1,usa1,wal1,arg1,mex1,pol1,ksa1,aus1,den1,fra1,tun1,crc1,ger1,jpn1,esp1,bel1,can1,cro1,mar1,bra1,cmr1,srb1,sui1,gha1,por1,kor1,uru1,ecu2,ned2,qat2,sen2,eng2,irn2,usa2,wal2,arg2,mex2,pol2,ksa2,aus2,den2,fra2,tun2,crc2,ger2,jpn2,esp2,bel2,can2,cro2,mar2,bra2,cmr2,srb2,sui2,gha2,por2,kor2,uru2,ecu3,ned3,qat3,sen3,eng3,irn3,usa3,wal3,arg3,mex3,pol3,ksa3,aus3,den3,fra3,tun3,crc3,ger3,jpn3,esp3,bel3,can3,cro3,mar3,bra3,cmr3,srb3,sui3,gha3,por3,kor3,uru3,ecu4,ned4,qat4,sen4,eng4,irn4,usa4,wal4,arg4,mex4,pol4,ksa4,aus4,den4,fra4,tun4,crc4,ger4,jpn4,esp4,bel4,can4,cro4,mar4,bra4,cmr4,srb4,sui4,gha4,por4,kor4,uru4,ecuWin,nedWin,qatWin,senWin,engWin,irnWin,usaWin,walWin,argWin,mexWin,polWin,ksaWin,ausWin,denWin,fraWin,tunWin,crcWin,gerWin,jpnWin,espWin,belWin,canWin,croWin,marWin,braWin,cmrWin,srbWin,suiWin,ghaWin,porWin,korWin,uruWin
0,0.48209,0.79006,0.21656,0.51129,0.80426,0.34207,0.52953,0.32414,0.83995,0.53636,0.3792,0.24449,0.21617,0.64835,0.82686,0.30862,0.08398,0.76424,0.34492,0.80686,0.624,0.36708,0.54419,0.46473,0.91045,0.19799,0.41295,0.47861,0.18003,0.81087,0.35636,0.65274,0.48209,0.79006,0.21656,0.51129,0.80426,0.34207,0.52953,0.32414,0.83995,0.53636,0.3792,0.24449,0.21617,0.64835,0.82686,0.30862,0.08398,0.76424,0.34492,0.80686,0.624,0.36708,0.54419,0.46473,0.91045,0.19799,0.41295,0.47861,0.18003,0.81087,0.35636,0.65274,0.20916,0.4899,0.06588,0.23152,0.51608,0.12694,0.24297,0.11755,0.53091,0.22207,0.12938,0.06913,0.065,0.33253,0.54053,0.11045,0.0229,0.49584,0.1576,0.55576,0.27365,0.11482,0.21411,0.16532,0.68867,0.05796,0.16587,0.20741,0.03586,0.45583,0.10596,0.28244,0.08389,0.2666,0.0184,0.09563,0.28996,0.04371,0.10082,0.03968,0.32755,0.09943,0.05029,0.02164,0.02062,0.16865,0.33135,0.04178,0.0051,0.24828,0.05775,0.30279,0.12034,0.03869,0.08819,0.06159,0.46381,0.01791,0.06658,0.0888,0.00945,0.26028,0.03783,0.13261,0.02817,0.11908,0.00399,0.03294,0.14689,0.01241,0.03517,0.01153,0.15944,0.03394,0.01471,0.00516,0.00454,0.06883,0.17187,0.01166,0.00132,0.14385,0.02465,0.18857,0.06141,0.01591,0.04219,0.02701,0.32477,0.00597,0.02878,0.03948,0.00284,0.15248,0.01429,0.06615,0.01022,0.0596,0.00096,0.01199,0.07136,0.00365,0.01304,0.00345,0.08476,0.01268,0.00463,0.00132,0.00124,0.02842,0.0875,0.00382,0.00032,0.07425,0.00876,0.10663,0.02608,0.0055,0.01702,0.01021,0.21668,0.00167,0.01,0.01455,0.00063,0.07629,0.00449,0.02828
1,0.73696,0.94938,0.04775,0.26591,0.9331,0.24889,0.44884,0.36917,0.54066,0.42644,0.35235,0.68055,0.17073,0.56544,0.9299,0.33393,0.02384,0.32793,0.74613,0.9021,0.77941,0.25848,0.51613,0.44598,0.98349,0.04935,0.2969,0.67026,0.17036,0.87616,0.38664,0.56684,0.73696,0.94938,0.04775,0.26591,0.9331,0.24889,0.44884,0.36917,0.54066,0.42644,0.35235,0.68055,0.17073,0.56544,0.9299,0.33393,0.02384,0.32793,0.74613,0.9021,0.77941,0.25848,0.51613,0.44598,0.98349,0.04935,0.2969,0.67026,0.17036,0.87616,0.38664,0.56684,0.3151,0.60133,0.01269,0.10595,0.58574,0.08052,0.17274,0.12593,0.31108,0.17268,0.12171,0.19361,0.06924,0.32475,0.65888,0.14805,0.00506,0.21221,0.31862,0.6638,0.34298,0.08643,0.2113,0.1596,0.76231,0.01582,0.11168,0.27479,0.0252,0.49172,0.10383,0.21465,0.13165,0.35679,0.00332,0.04184,0.30624,0.03273,0.07378,0.04936,0.18949,0.07517,0.04645,0.05947,0.02226,0.15557,0.40349,0.05239,0.00097,0.12057,0.10747,0.35123,0.1418,0.02833,0.08519,0.05628,0.50478,0.00554,0.04855,0.11839,0.00636,0.28365,0.03815,0.10274,0.0449,0.14615,0.00077,0.01634,0.15614,0.00781,0.02176,0.01302,0.09295,0.02449,0.0131,0.01128,0.00441,0.05583,0.22312,0.01326,0.00018,0.06744,0.04304,0.23944,0.06427,0.01199,0.04148,0.02472,0.36793,0.0021,0.02049,0.04922,0.00206,0.15419,0.01531,0.05081,0.01584,0.07245,0.00023,0.00581,0.07118,0.0022,0.00809,0.00435,0.04724,0.00897,0.00452,0.00288,0.00117,0.0229,0.11092,0.00432,0.00002,0.03269,0.01433,0.14587,0.02415,0.00427,0.01684,0.00904,0.2476,0.00061,0.00672,0.01659,0.0005,0.07188,0.00483,0.02099
1.5,0.65708,0.95479,0.00099,0.38714,0.96432,0.53093,0.43521,0.06954,0.50015,0.42017,0.75976,0.31992,0.38094,0.58539,0.96475,0.06892,0.12099,0.6341,0.2933,0.95161,0.4452,0.19915,0.44995,0.9057,0.99035,0.02009,0.2359,0.75366,0.37792,0.89931,0.10137,0.6214,0.65708,0.95479,0.00099,0.38714,0.96432,0.53093,0.43521,0.06954,0.50015,0.42017,0.75976,0.31992,0.38094,0.58539,0.96475,0.06892,0.12099,0.6341,0.2933,0.95161,0.4452,0.19915,0.44995,0.9057,0.99035,0.02009,0.2359,0.75366,0.37792,0.89931,0.10137,0.6214,0.28722,0.60465,0.00026,0.14585,0.5998,0.17196,0.16953,0.02073,0.31344,0.17645,0.24363,0.08227,0.13027,0.32322,0.70309,0.02763,0.02794,0.41778,0.13564,0.70567,0.16409,0.07088,0.1776,0.3004,0.78066,0.00587,0.08372,0.30683,0.05366,0.50883,0.0213,0.23913,0.12414,0.35935,0.00008,0.0555,0.31198,0.06934,0.07296,0.00814,0.19304,0.07956,0.0863,0.02484,0.04018,0.16109,0.43479,0.0105,0.00476,0.2266,0.04879,0.36618,0.06325,0.02711,0.07417,0.10703,0.51134,0.00172,0.03225,0.12147,0.01238,0.27841,0.00739,0.10894,0.04203,0.1472,0.00002,0.01991,0.16085,0.01709,0.02203,0.0017,0.08941,0.02584,0.02126,0.00542,0.00739,0.05936,0.24112,0.0022,0.00096,0.12429,0.01794,0.24726,0.02839,0.01148,0.03541,0.04387,0.37335,0.00054,0.01197,0.05117,0.00349,0.15029,0.00326,0.052,0.0151,0.07225,0,0.00658,0.07299,0.00554,0.00755,0.00052,0.04694,0.00972,0.00597,0.00138,0.00183,0.02381,0.11967,0.00076,0.0001,0.05823,0.00575,0.14943,0.0112,0.00435,0.01453,0.01464,0.24781,0.00022,0.00362,0.01804,0.00067,0.07058,0.00125,0.02174
2,0.70924,0.99151,0,0.29925,0.99916,0.57876,0.37672,0.04536,0.77405,0.164,0.75519,0.30676,0.44615,0.51286,1,0.04099,0.13935,0.67345,0.19543,0.99177,0.3277,0,0.75862,0.91368,1,0.01713,0.30418,0.67869,0.42265,1,0.08912,0.48823,0.70924,0.99151,0,0.29925,0.99916,0.57876,0.37672,0.04536,0.77405,0.164,0.75519,0.30676,0.44615,0.51286,1,0.04099,0.13935,0.67345,0.19543,0.99177,0.3277,0,0.75862,0.91368,1,0.01713,0.30418,0.67869,0.42265,1,0.08912,0.48823,0.3161,0.59733,0,0.12513,0.5983,0.20294,0.14541,0.01479,0.49381,0.04521,0.24598,0.06571,0.13214,0.2412,0.75998,0.01597,0.03029,0.42428,0.09698,0.72213,0.12889,0,0.31783,0.2796,0.82256,0.00451,0.10171,0.24187,0.04063,0.65092,0.01607,0.12173,0.12525,0.32199,0,0.04647,0.29438,0.07616,0.06135,0.0059,0.29805,0.01911,0.08961,0.02028,0.0406,0.11817,0.47603,0.00665,0.00548,0.24106,0.02898,0.35169,0.05167,0,0.13829,0.08569,0.53731,0.00145,0.03952,0.09924,0.0092,0.35302,0.00556,0.05184,0.04497,0.12204,0,0.0165,0.14332,0.01877,0.01639,0.00128,0.12681,0.00693,0.02053,0.00412,0.00626,0.03423,0.27224,0.00158,0.00108,0.12928,0.01258,0.23196,0.02323,0,0.06419,0.03619,0.39419,0.00038,0.01503,0.03875,0.00281,0.18387,0.00247,0.02802,0.01607,0.05723,0,0.00545,0.06282,0.00602,0.00562,0.0004,0.06528,0.00223,0.00643,0.0011,0.00177,0.01409,0.13269,0.0005,0.0002,0.05919,0.00487,0.13658,0.00953,0,0.0254,0.01278,0.26002,0.00015,0.00462,0.01281,0.00065,0.08195,0.00101,0.01254
3,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0.65454,0,0.31609,0.68391,0,0.34546,0,0.82673,0,0.18489,0,0.17327,0,0.81511,0,0,0,0.46011,0.73102,0,0,0.53989,0.26898,0.82453,0,0,0.38688,0,0.61312,0.17547,0,0,0.31099,0,0.1201,0.36842,0,0.11972,0,0.5156,0,0.05025,0,0.05369,0,0.46123,0,0,0,0.12806,0.45168,0,0,0.16169,0.11057,0.63086,0,0,0.14682,0,0.29093,0.07939,0,0,0.13043,0,0.04418,0.19286,0,0.03617,0,0.24966,0,0.01294,0,0.01129,0,0.24482,0,0,0,0.05155,0.25872,0,0,0.07053,0.04279,0.42125,0,0,0.05877,0,0.14492,0.02912,0,0,0.06064,0,0.01542,0.09399,0,0.01238,0,0.13119,0,0.00331,0,0.00286,0,0.12131,0,0,0,0.01932,0.13534,0,0,0.02849,0.01426,0.26399,0,0,0.02126,0,0.06613,0.01011,0
3,,0.65454,,0.31609,0.68391,,0.34546,,0.82673,,0.18489,,0.17327,,0.81511,,,,0.46011,0.73102,,,0.53989,0.26898,0.82453,,,0.38688,,0.61312,0.17547,,,1,,1,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,,,1,,1,1,,,0.65454,,0.31609,0.68391,,0.34546,,0.82673,,0.18489,,0.17327,,0.81511,,,,0.46011,0.73102,,,0.53989,0.26898,0.82453,,,0.38688,,0.61312,0.17547,,,0.31099,,0.1201,0.36842,,0.11972,,0.5156,,0.05025,,0.05369,,0.46123,,,,0.12806,0.45168,,,0.16169,0.11057,0.63086,,,0.14682,,0.29093,0.07939,,,0.13043,,0.04418,0.19286,,0.03617,,0.24966,,0.01294,,0.01129,,0.24482,,,,0.05155,0.25872,,,0.07053,0.04279,0.42125,,,0.05877,,0.14492,0.02912,,,0.06064,,0.01542,0.09399,,0.01238,,0.13119,,0.00331,,0.00286,,0.12131,,,,0.01932,0.13534,,,0.02849,0.01426,0.26399,,,0.02126,,0.06613,0.01011,
4,,0.42626,,,0.51407,,,,0.57374,,,,,,0.48593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,,0,,1,,0,,0,,1,,,,,,,,,,,,,,,,,,,0.42626,,0,0.51407,,0,,0.57374,,0,,0,,0.48593,,,,,,,,,,,,,,,,,,,0.17067,,0,0.26547,,0,,0.2617,,0,,0,,0.24151,,,,,,,,,,,,,,,,,,,0.07547,,0,0.12679,,0,,0.13159,,0,,0,,0.11199,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
